iter	MAE
187	5290.897235
188	5286.084567
189	5283.49966
190	5276.477207
191	5269.508279
192	5262.567897
193	5248.704453
194	5240.919597
195	5219.639389
196	5215.073125
197	5206.779534
198	5202.544927
199	5200.184747
200	5185.652814
201	5180.037906
202	5152.801856
203	5148.682019
204	5139.803536
205	5133.738116
206	5112.960141
207	5109.057474
208	5099.300629
209	5094.813536
210	5089.858423
211	5083.823305
212	5076.75224
213	5072.363261
214	5066.511538
215	5062.062527
216	5052.718375
217	5041.021499
218	5033.70689
219	5029.700399
220	5011.687315
221	5005.955745
222	5003.975988
223	4993.970192
224	4983.253102
225	4966.578795
226	4964.023752
227	4958.75528
228	4953.872334
229	4946.45012
230	4940.500904
231	4938.532642
232	4934.752515
233	4927.941807
234	4919.190636
235	4914.20977
236	4911.50068
237	4909.661302
238	4904.927527
239	4899.830195
240	4891.969672
241	4887.358857
242	4882.617009
243	4874.395453
244	4867.594806
245	4864.227686
246	4852.833581
247	4834.149386
248	4825.589739
249	4818.073354
250	4812.168475
251	4810.807786
252	4807.20958
253	4800.948473
254	4794.127723
255	4791.836296
256	4788.168363
257	4785.656746
258	4782.319463
259	4780.951342
260	4776.07674
261	4768.188139
262	4764.431703
263	4759.472353
264	4754.997743
265	4753.074721
266	4749.781239
267	4745.954496
268	4732.265194
269	4728.684322
270	4726.043231
271	4718.9092
272	4715.064024
273	4709.328977
274	4707.076618
275	4703.572713
276	4702.066567
277	4698.834637
278	4696.695674
279	4692.843485
280	4689.415268
281	4682.868714
282	4675.897093
283	4670.270162
284	4667.370371
285	4665.819497
286	4654.128153
287	4649.658299
288	4645.870774
289	4638.578895
290	4635.969711
291	4633.626011
292	4630.527632
293	4619.426811
294	4613.631758
295	4611.696811
296	4598.745533
297	4597.632243
298	4592.13988
299	4589.174353
300	4587.756776
301	4583.857098
302	4583.122167
303	4580.457751
304	4570.84877
305	4569.662193
306	4568.862389
307	4565.235629
308	4564.278767
309	4560.661862
310	4556.919435
311	4552.576044
312	4550.402805
313	4545.33856
314	4543.817686
315	4539.49486
316	4537.271206
317	4535.258286
318	4534.134511
319	4528.801937
320	4526.938979
321	4525.849281
322	4524.230599
323	4518.216664
324	4513.662121
325	4507.205534
326	4499.430426
327	4495.684962
328	4494.123654
329	4489.894359
330	4486.879656
331	4485.120695
332	4475.453297
333	4473.68808
334	4470.210893
335	4468.256587
336	4466.298151
337	4464.07038
338	4461.660508
339	4459.127112
340	4453.849597
341	4451.912564
342	4449.587911
343	4447.792278
344	4446.33835
345	4440.727944
346	4435.274337
347	4423.432656
348	4416.066569
349	4412.501055
350	4408.082246
351	4406.711849
352	4404.031707
353	4402.68166
354	4400.158937
355	4395.087984
356	4393.540358
357	4386.564497
358	4380.10845
359	4378.378852
360	4376.353459
361	4372.636201
362	4370.591957
363	4369.365124
364	4367.462215
365	4365.375309
366	4364.054166
367	4363.343519
368	4360.878612
369	4357.443332
370	4351.046196
371	4349.430318
372	4345.357159
373	4342.280604
374	4338.444285
375	4335.783284
376	4334.715781
377	4333.338169
378	4330.991983
379	4328.804777
380	4326.657462
381	4324.718524
382	4323.936351
383	4323.324404
384	4322.611758
385	4318.056794
386	4316.098808
387	4312.748017
388	4304.48695
389	4303.658184
390	4302.061787
391	4295.330894
392	4289.315228
393	4287.522575
394	4283.990379
395	4281.137532
396	4276.924838
397	4272.53933
398	4270.411226
399	4268.1052
400	4266.130703
401	4264.383408
402	4263.407981
403	4258.626969
404	4255.53483
405	4254.612736
406	4253.13621
407	4250.142581
408	4249.004228
409	4247.855553
410	4244.219003
411	4238.160715
412	4235.479452
413	4232.999811
414	4230.880455
415	4230.111287
416	4229.243794
417	4227.895643
418	4217.920901
419	4213.83954
420	4210.821691
421	4201.31764
422	4200.171146
423	4199.370467
424	4196.623852
425	4195.22291
426	4188.227921
427	4184.806928
428	4183.657264
429	4183.083577
430	4177.556809
431	4176.536926
432	4173.801631
433	4168.803365
434	4166.330879
435	4162.738663
436	4161.97633
437	4160.061077
438	4158.580354
439	4153.11554
440	4147.152007
441	4146.164986
442	4144.733556
443	4138.656017
444	4136.046529
445	4131.697413
446	4125.566761
447	4122.148248
448	4121.514773
449	4120.480186
450	4118.002116
451	4115.699161
452	4111.537114
453	4110.669386
454	4106.268458
455	4104.630793
456	4102.49505
457	4099.745138
458	4098.570908
459	4096.850609
460	4095.920886
461	4093.064361
462	4092.477702
463	4091.67226
464	4087.073996
465	4084.173943
466	4083.337843
467	4079.990572
468	4078.670224
469	4074.927731
470	4070.841829
471	4070.049812
472	4068.514302
473	4065.519451
474	4061.957129
475	4060.978561
476	4056.929306
477	4056.229439
478	4054.956185
479	4051.20652
480	4046.672127
481	4045.496218
482	4045.072518
483	4043.839631
484	4041.439046
485	4041.090574
486	4040.235439
487	4037.150513
488	4036.115539
489	4033.939832
490	4032.994339
491	4031.5633
492	4029.336209
493	4026.516831
494	4023.309585
495	4022.1506
496	4018.908393
497	4017.327695
498	4016.341753
499	4014.568261
500	4012.194122
501	4009.8478
502	4008.813132
503	4003.887349
504	4000.756014
505	3998.904716
506	3997.951343
507	3991.45842
508	3990.393129
509	3987.41455
510	3985.394928
511	3983.237746
512	3981.734483
513	3980.579332
514	3979.598553
515	3977.688145
516	3977.206237
517	3976.002463
518	3975.565299
519	3973.527209
520	3972.876955
521	3970.530442
522	3968.527803
523	3967.062478
524	3965.414855
525	3964.596753
526	3962.412379
527	3960.446045
528	3959.657208
529	3956.36747
530	3955.524091
531	3954.669776
532	3951.558838
533	3949.568698
534	3946.409674
535	3945.973336
536	3944.176997
537	3940.636939
538	3939.535625
539	3939.069503
540	3938.434115
541	3938.085753
542	3936.898771
543	3931.599854
544	3931.027568
545	3930.32303
546	3928.491487
547	3927.710867
548	3924.341265
549	3921.810079
550	3921.264091
551	3917.214565
552	3915.976932
553	3909.783384
554	3909.145634
555	3906.91239
556	3906.260721
557	3905.109585
558	3903.704331
559	3898.639594
560	3897.875123
561	3895.316982
562	3894.566757
563	3893.30598
564	3891.354412
565	3890.009842
566	3889.235581
567	3887.792704
568	3886.221773
569	3882.433688
570	3880.607257
571	3878.160281
572	3877.164058
573	3875.133429
574	3874.13492
575	3872.714718
576	3872.161501
577	3868.471722
578	3867.057171
579	3864.814879
580	3863.329395
581	3862.467704
582	3861.709761
583	3860.998868
584	3859.867689
585	3859.309144
586	3857.794215
587	3855.2318
588	3854.568272
589	3853.263959
590	3852.943124
591	3849.33157
592	3847.692712
593	3843.044893
594	3841.814947
595	3841.107263
596	3839.564256
597	3838.98004
598	3837.09568
599	3836.654625
600	3835.921088
601	3835.48861
602	3833.847501
603	3832.511473
604	3831.961795
605	3829.021968
606	3827.054253
607	3826.431156
608	3823.59027
609	3822.347665
610	3819.368528
611	3818.697597
612	3816.399499
613	3815.581489
614	3812.863238
615	3811.867895
616	3809.006558
617	3808.112575
618	3807.036099
619	3806.420219
620	3804.217298
621	3802.827502
622	3801.220016
623	3800.028815
624	3797.47546
625	3796.508275
626	3795.672173
627	3795.139438
628	3794.216058
629	3792.926359
630	3792.3294
631	3790.85019
632	3789.799607
633	3788.109598
634	3786.819117
635	3783.070778
636	3782.737854
637	3781.139663
638	3779.580688
639	3778.89186
640	3777.619386
641	3776.427454
642	3776.002805
643	3775.108056
644	3774.170608
645	3772.592887
646	3769.395258
647	3767.115162
648	3766.377401
649	3765.588961
650	3764.644685
651	3763.504929
652	3761.548201
653	3760.460884
654	3759.879552
655	3757.890754
656	3756.623199
657	3756.16308
658	3754.549283
659	3753.357009
660	3752.722363
661	3752.21729
662	3750.24296
663	3747.780649
664	3745.985405
665	3743.618691
666	3742.768166
667	3740.517722
668	3737.308351
669	3736.420057
670	3736.057829
671	3735.661928
672	3734.502606
673	3732.869439
674	3731.190509
675	3730.549618
676	3730.133756
677	3728.823189
678	3725.978164
679	3725.008048
680	3724.16901
681	3723.000953
682	3720.207307
683	3719.43611
684	3718.778233
685	3717.248373
686	3716.559607
687	3715.259045
688	3714.945064
689	3713.981022
690	3713.449716
691	3712.825583
692	3712.233388
693	3711.126973
694	3710.559977
695	3710.159892
696	3709.804228
697	3708.061948
698	3707.273504
699	3706.175835
700	3704.405526
701	3703.740243
702	3702.481827
703	3702.14852
704	3701.187855
705	3700.220961
706	3699.293802
707	3698.876246
708	3698.320598
709	3697.618434
710	3696.977222
711	3696.211916
712	3695.570379
713	3694.10223
714	3692.483266
715	3691.206248
716	3690.458849
717	3690.053497
718	3689.198979
719	3687.345142
720	3685.698342
721	3685.295523
722	3684.393739
723	3681.225275
724	3678.408996
725	3675.64981
726	3674.452783
727	3672.416632
728	3672.006343
729	3667.267176
730	3666.299424
731	3663.104752
732	3661.337754
733	3661.038907
734	3660.26083
735	3659.578186
736	3655.578183
737	3654.724901
738	3654.308873
739	3652.572099
740	3648.490179
741	3646.907804
742	3645.251912
743	3643.356466
744	3641.307055
745	3640.376408
746	3639.432305
747	3638.09893
748	3636.04919
749	3631.800066
750	3630.652189
751	3630.219642
752	3626.902102
753	3626.440655
754	3625.777447
755	3624.970494
756	3624.582138
757	3623.787083
758	3622.725317
759	3622.425999
760	3621.363491
761	3621.054335
762	3619.995387
763	3619.775794
764	3619.524603
765	3617.761187
766	3616.720095
767	3615.896872
768	3614.058857
769	3612.689422
770	3611.965439
771	3611.043283
772	3610.538924
773	3609.107476
774	3607.796407
775	3606.892051
776	3604.459101
777	3603.825962
778	3603.087971
779	3602.417189
780	3600.365244
781	3599.698053
782	3597.66035
783	3594.333469
784	3593.31035
785	3593.073272
786	3592.548673
787	3592.13226
788	3590.850179
789	3590.537034
790	3590.152713
791	3589.946661
792	3588.660799
793	3587.203477
794	3585.229452
795	3584.877462
796	3583.867668
797	3583.039247
798	3581.365871
799	3580.531794
800	3580.262926
801	3579.01828
802	3578.640356
803	3577.79815
804	3576.623326
805	3575.147122
806	3573.96747
807	3572.802318
808	3572.218038
809	3570.032674
810	3569.66412
811	3568.952193
812	3566.584456
813	3566.033602
814	3563.423692
815	3562.953516
816	3560.844112
817	3557.548652
818	3557.139611
819	3556.676854
820	3555.969103
821	3555.258116
822	3554.996647
823	3554.076179
824	3553.779015
825	3552.962784
826	3551.565586
827	3550.078392
828	3548.848344
829	3547.870432
830	3546.344628
831	3545.775447
832	3544.951879
833	3544.049236
834	3543.751939
835	3543.075129
836	3542.006339
837	3539.69525
838	3538.460155
839	3537.028978
840	3536.294401
841	3535.954311
842	3535.225591
843	3531.829914
844	3529.37704
845	3527.772127
846	3526.949848
847	3526.543023
848	3524.276022
849	3518.433615
850	3517.212229
851	3516.664701
852	3515.585429
853	3514.665309
854	3513.624751
855	3513.384909
856	3511.103992
857	3510.558242
858	3509.862796
859	3509.614341
860	3509.178464
861	3508.477299
862	3506.632075
863	3506.378728
864	3505.454837
865	3505.074971
866	3503.922039
867	3503.231412
868	3502.84681
869	3502.583708
870	3500.582374
871	3499.878779
872	3499.64869
873	3498.26729
874	3495.277219
875	3494.946045
876	3494.584842
877	3494.249937
878	3493.128488
879	3492.688093
880	3491.305845
881	3491.111775
882	3490.124847
883	3489.808196
884	3485.83858
885	3484.47427
886	3484.041679
887	3482.380403
888	3481.141726
889	3480.083797
890	3478.248517
891	3477.306871
892	3476.820516
893	3474.090568
894	3473.270818
895	3472.756447
896	3472.310821
897	3471.80687
898	3471.404228
899	3467.135877
900	3466.428159
901	3465.271419
902	3464.810929
903	3461.843647
904	3461.026408
905	3459.601086
906	3458.437612
907	3457.682051
908	3457.086549
909	3456.396588
910	3455.629537
911	3455.29235
912	3453.319096
913	3451.73513
914	3451.326198
915	3450.763567
916	3450.457884
917	3449.611154
918	3449.423185
919	3449.220216
920	3448.259564
921	3447.865459
922	3446.040827
923	3445.586019
924	3445.027224
925	3444.335342
926	3444.10204
927	3443.087058
928	3442.119771
929	3441.88273
930	3441.35325
931	3441.036517
932	3438.481527
933	3436.92515
934	3435.715921
935	3435.377068
936	3434.000822
937	3432.380049
938	3431.003745
939	3430.148397
940	3429.709351
941	3427.13679
942	3426.752993
943	3426.040413
944	3423.95873
945	3423.657376
946	3422.489554
947	3422.277724
948	3421.773472
949	3421.043228
950	3420.291536
951	3419.20771
952	3419.004431
953	3418.595643
954	3416.518978
955	3415.146871
956	3414.576684
957	3414.364111
958	3413.266192
959	3412.452198
960	3411.910849
961	3411.368294
962	3410.672778
963	3410.362807
964	3410.23971
965	3409.866022
966	3409.502956
967	3409.302834
968	3408.952059
969	3408.782238
970	3408.008941
971	3406.222706
972	3405.463992
973	3405.151639
974	3404.544872
975	3403.40217
976	3402.292948
977	3401.883328
978	3399.862632
979	3398.813943
980	3398.346463
981	3395.866818
982	3395.750945
983	3395.078011
984	3394.442139
985	3392.23447
986	3391.576786
987	3391.410317
988	3390.883145
989	3387.621666
990	3386.052013
991	3384.191701
992	3382.289594
993	3381.693942
994	3381.180762
995	3380.86171
996	3380.467325
997	3379.692691
998	3379.036609
999	3376.542525
