iter	RMSE
329	7377.691942
330	7372.652977
331	7367.124513
332	7359.534444
333	7355.43716
334	7349.18401
335	7342.626659
336	7336.480682
337	7330.267142
338	7321.665729
339	7317.984831
340	7312.369872
341	7306.690567
342	7302.98731
343	7297.758264
344	7292.66958
345	7287.920859
346	7281.617882
347	7276.215671
348	7272.662739
349	7262.909408
350	7257.933596
351	7248.297841
352	7244.104251
353	7239.34025
354	7235.494428
355	7229.489203
356	7225.595679
357	7220.694306
358	7214.677246
359	7211.510992
360	7209.312865
361	7205.935997
362	7201.012477
363	7198.802772
364	7194.537846
365	7190.171308
366	7177.083856
367	7175.076991
368	7171.331292
369	7166.587718
370	7162.059528
371	7158.571021
372	7155.462299
373	7148.869514
374	7142.983446
375	7139.702639
376	7127.09158
377	7121.118116
378	7109.948114
379	7106.786484
380	7102.276553
381	7096.809398
382	7090.596313
383	7082.808648
384	7079.773859
385	7076.257823
386	7068.517547
387	7066.926801
388	7059.908566
389	7056.73889
390	7051.840443
391	7046.572068
392	7039.915306
393	7031.379661
394	7025.132254
395	7022.808246
396	7019.228154
397	7010.730996
398	7008.068066
399	7002.870241
400	6999.403593
401	6996.011914
402	6992.983727
403	6988.689694
404	6986.38831
405	6983.512237
406	6981.305899
407	6977.531445
408	6973.656977
409	6971.807997
410	6968.698851
411	6965.148801
412	6957.557183
413	6950.883804
414	6948.046135
415	6939.172698
416	6933.512597
417	6930.682555
418	6928.332285
419	6924.254167
420	6921.482047
421	6916.57365
422	6913.669423
423	6909.782224
424	6906.411073
425	6903.527532
426	6898.570263
427	6895.799717
428	6891.44275
429	6886.92615
430	6885.068988
431	6878.743334
432	6874.991915
433	6868.416163
434	6865.802358
435	6863.047813
436	6858.019935
437	6855.502148
438	6852.625587
439	6849.692461
440	6846.649651
441	6837.985934
442	6832.732331
443	6827.927029
444	6823.295048
445	6820.301613
446	6816.02679
447	6811.353329
448	6805.187109
449	6802.308844
450	6800.472873
451	6796.43234
452	6794.210813
453	6792.49174
454	6791.034219
455	6787.476266
456	6782.220799
457	6775.254568
458	6765.636967
459	6762.344779
460	6758.600517
461	6754.600551
462	6752.372985
463	6749.319912
464	6746.252464
465	6743.388915
466	6739.819905
467	6736.114417
468	6731.307478
469	6727.669598
470	6723.66306
471	6718.797917
472	6715.677026
473	6713.662021
474	6711.897751
475	6710.026058
476	6706.860474
477	6703.409401
478	6700.186408
479	6697.006262
480	6692.756522
481	6690.568268
482	6686.688088
483	6684.665994
484	6683.043793
485	6678.202725
486	6675.787996
487	6671.52825
488	6670.50943
489	6665.982798
490	6663.177207
491	6660.306474
492	6658.306338
493	6655.70477
494	6653.176383
495	6651.12083
496	6647.84712
497	6645.648107
498	6642.627852
499	6639.521434
500	6636.415427
501	6631.707966
502	6628.273431
503	6626.1483
504	6624.214358
505	6619.91693
506	6616.141333
507	6612.376654
508	6607.651901
509	6599.94975
510	6596.390229
511	6589.175063
512	6587.546604
513	6585.047435
514	6581.712342
515	6577.669124
516	6575.834506
517	6574.162562
518	6573.195297
519	6569.553413
520	6568.150162
521	6566.286309
522	6564.635826
523	6562.280181
524	6559.139557
525	6555.713729
526	6552.075718
527	6550.424522
528	6531.959472
529	6529.495512
530	6526.452733
531	6524.199726
532	6522.199159
533	6518.734927
534	6516.37191
535	6514.036412
536	6511.432984
537	6509.711255
538	6507.574308
539	6504.362593
540	6498.846038
541	6496.057198
542	6494.28595
543	6492.420608
544	6489.621404
545	6488.315469
546	6486.753111
547	6484.422264
548	6479.030612
549	6476.381178
550	6474.635008
551	6466.592922
552	6463.960276
553	6460.310769
554	6458.161118
555	6455.006777
556	6452.017781
557	6450.263176
558	6447.672936
559	6446.462918
560	6444.857536
561	6442.680378
562	6440.798547
563	6438.348159
564	6434.716953
565	6433.546063
566	6430.773032
567	6427.86578
568	6425.566771
569	6419.522005
570	6418.075391
571	6415.882101
572	6414.445279
573	6413.075683
574	6410.887023
575	6407.870853
576	6406.355965
577	6402.744202
578	6400.556911
579	6394.905748
580	6392.730807
581	6389.547161
582	6381.318208
583	6377.271684
584	6373.765316
585	6370.968956
586	6368.586513
587	6365.099425
588	6363.640569
589	6361.438152
590	6358.667328
591	6354.523352
592	6352.116972
593	6348.859299
594	6347.289015
595	6344.833761
596	6342.849583
597	6341.605617
598	6338.701176
599	6335.822084
600	6332.1001
601	6330.888786
602	6328.502723
603	6326.009933
604	6324.032167
605	6320.519916
606	6318.002173
607	6315.860094
608	6310.450613
609	6308.992763
610	6305.441165
611	6302.438493
612	6300.562828
613	6298.591949
614	6296.417762
615	6295.258449
616	6293.389235
617	6291.85831
618	6289.673273
619	6284.57473
620	6283.257054
621	6281.772592
622	6279.319963
623	6274.932099
624	6273.978656
625	6271.708697
626	6269.637241
627	6266.674037
628	6265.372241
629	6263.539702
630	6261.840304
631	6260.229072
632	6258.157812
633	6256.293866
634	6253.980415
635	6250.209581
636	6248.055047
637	6246.076645
638	6244.535399
639	6242.361101
640	6241.197919
641	6239.679208
642	6237.93694
643	6236.157024
644	6226.556671
645	6224.453942
646	6222.387701
647	6216.843561
648	6215.09581
649	6213.683981
650	6210.792274
651	6208.503265
652	6206.162443
653	6200.890574
654	6198.424293
655	6194.328876
656	6192.901391
657	6191.527029
658	6190.412498
659	6188.844191
660	6185.137029
661	6182.979317
662	6181.086586
663	6179.223028
664	6175.331017
665	6173.651985
666	6171.926821
667	6170.660066
668	6168.262096
669	6167.398023
670	6164.642698
671	6162.294817
672	6160.376917
673	6158.582001
674	6157.249874
675	6155.93972
676	6148.413329
677	6145.066586
678	6136.747891
679	6132.766436
680	6131.398333
681	6127.462426
682	6125.147002
683	6118.497854
684	6115.425756
685	6113.311184
686	6109.378715
687	6107.908606
688	6105.831448
689	6103.813297
690	6100.953268
691	6100.173422
692	6098.799042
693	6096.014605
694	6092.954025
695	6091.747559
696	6088.147455
697	6086.41295
698	6084.295326
699	6083.082793
700	6081.818688
701	6080.728661
702	6073.305905
703	6071.556447
704	6067.026791
705	6065.219948
706	6063.193284
707	6061.491713
708	6059.335231
709	6057.98813
710	6056.516716
711	6055.364638
712	6052.756456
713	6051.62663
714	6050.21569
715	6048.798917
716	6044.636257
717	6042.413299
718	6041.164994
719	6039.521801
720	6038.417286
721	6035.616603
722	6031.957869
723	6030.429991
724	6028.61824
725	6027.299565
726	6024.865728
727	6022.945497
728	6020.749755
729	6019.243778
730	6017.837201
731	6016.799272
732	6013.819904
733	6012.350963
734	6011.211407
735	6009.167315
736	6005.911602
737	6002.854205
738	6002.364263
739	5999.692777
740	5998.395017
741	5996.609784
742	5991.85263
743	5988.671437
744	5986.722105
745	5985.129296
746	5984.263971
747	5982.196209
748	5979.444941
749	5978.378777
750	5972.347678
751	5969.967292
752	5968.357108
753	5966.745117
754	5965.052932
755	5963.982257
756	5961.850533
757	5960.713099
758	5959.763581
759	5958.800313
760	5956.342535
761	5955.008652
762	5952.939397
763	5950.673489
764	5948.768998
765	5945.924866
766	5935.099186
767	5933.678296
768	5930.718286
769	5929.223417
770	5924.600504
771	5921.886995
772	5920.970415
773	5920.222201
774	5918.346524
775	5915.924566
776	5913.19044
777	5912.314335
778	5910.190378
779	5907.872415
780	5905.968948
781	5903.718002
782	5903.107306
783	5901.692114
784	5899.925271
785	5896.787344
786	5894.06096
787	5892.781517
788	5890.680985
789	5889.596772
790	5888.153505
791	5884.445333
792	5882.685187
793	5881.085893
794	5877.657601
795	5875.83663
796	5874.499143
797	5873.438098
798	5870.015599
799	5867.65904
800	5862.698995
801	5860.477744
802	5858.779912
803	5857.204479
804	5852.823106
805	5848.194778
806	5845.30294
807	5843.069951
808	5840.992974
809	5839.499279
810	5837.223442
811	5834.535857
812	5833.872357
813	5832.532979
814	5831.822556
815	5830.962246
816	5829.295188
817	5828.622207
818	5825.17051
819	5824.089105
820	5821.960906
821	5821.301352
822	5819.612552
823	5819.02684
824	5814.379698
825	5812.819221
826	5810.171932
827	5806.456902
828	5805.262456
829	5803.762307
830	5802.682265
831	5802.310961
832	5801.136491
833	5800.203098
834	5798.540831
835	5797.031521
836	5794.820879
837	5792.993245
838	5792.066404
839	5790.393561
840	5789.054906
841	5788.693246
842	5787.09646
843	5785.766646
844	5784.253266
845	5779.780419
846	5777.296959
847	5774.904753
848	5773.386726
849	5772.139781
850	5771.254594
851	5765.984607
852	5765.113683
853	5763.993829
854	5762.746684
855	5761.875722
856	5760.669862
857	5759.103748
858	5757.34321
859	5756.354511
860	5755.484831
861	5754.311975
862	5753.216608
863	5752.288637
864	5751.458014
865	5750.60236
866	5749.278858
867	5747.927155
868	5747.165378
869	5744.693725
870	5743.691502
871	5740.943475
872	5739.449549
873	5738.061299
874	5736.87408
875	5735.87871
876	5734.927032
877	5734.609665
878	5733.872552
879	5733.010558
880	5726.341288
881	5725.874799
882	5724.584136
883	5723.002404
884	5717.251542
885	5716.454233
886	5712.975776
887	5711.349021
888	5710.156354
889	5709.251792
890	5706.111423
891	5704.858197
892	5703.8509
893	5702.870511
894	5702.184126
895	5699.826801
896	5698.058536
897	5697.549065
898	5697.013768
899	5696.163015
900	5683.807353
901	5683.276563
902	5682.587371
903	5681.278629
904	5679.210453
905	5678.442686
906	5677.216049
907	5676.544919
908	5675.487257
909	5674.233061
910	5671.048351
911	5670.128643
912	5668.589548
913	5666.712861
914	5665.440207
915	5664.409457
916	5663.704321
917	5658.041535
918	5657.002039
919	5654.190186
920	5653.597787
921	5651.599997
922	5649.7443
923	5648.631248
924	5644.799573
925	5643.764053
926	5641.358128
927	5640.740401
928	5638.543051
929	5637.401765
930	5636.682352
931	5635.011862
932	5633.739854
933	5630.243919
934	5628.78475
935	5627.261016
936	5625.712091
937	5623.779589
938	5622.966007
939	5621.50833
940	5618.701565
941	5616.964558
942	5615.529661
943	5615.117203
944	5613.474391
945	5612.628495
946	5611.428153
947	5610.476891
948	5609.078361
949	5608.043239
950	5608.032741
951	5600.639603
952	5598.39776
953	5596.120265
954	5595.299941
955	5593.729984
956	5581.546963
957	5580.308766
958	5577.252772
959	5576.499841
960	5571.588211
961	5570.945306
962	5569.665107
963	5568.760799
964	5567.878762
965	5566.521019
966	5566.163565
967	5565.223127
968	5564.978012
969	5562.491271
970	5559.107493
971	5558.170685
972	5557.461187
973	5554.773518
974	5553.18979
975	5552.274545
976	5550.564661
977	5549.104191
978	5545.035648
979	5543.173861
980	5542.273571
981	5530.694082
982	5529.760822
983	5528.870468
984	5527.909655
985	5526.188968
986	5523.359041
987	5522.442874
988	5521.066252
989	5520.032286
990	5518.775865
991	5517.284532
992	5516.709467
993	5515.991815
994	5514.692207
995	5513.41218
996	5512.481969
997	5511.477608
998	5509.572609
999	5509.052414
